mu	val_ema_2655	val_ema_2680	val_ema_2690	val_ema_2720	first_ema_lt328	exit
0.90	3.28322	3.28166	3.28111	3.27954	2715	0
0.92	3.28027	3.27865	3.27805	3.27647	2660	0
0.94	3.27833	3.27661	3.27598	3.27425	2635	0
0.96	3.28150	3.27971	3.27908	3.27727	2680	0
0.98	3.29904	3.29718	3.29647	3.29456	none	0
