=== n8 ctrl seed 1: train_gpt_muonh_fast_slow_decay.py ===
W0827 07:42:35.001000 19568 torch/distributed/run.py:852] 
W0827 07:42:35.001000 19568 torch/distributed/run.py:852] *****************************************
W0827 07:42:35.001000 19568 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0827 07:42:35.001000 19568 torch/distributed/run.py:852] *****************************************
logs/muonh_fast_slow_decay_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_steps3125_seed1.txt
step:0/3125 val_loss:10.99622 train_time:0.000s step_avg:nanms
step:1/3125 train_time:2.886s step_avg:2885.81ms
step:2/3125 train_time:3.032s step_avg:1516.07ms
step:3/3125 train_time:3.186s step_avg:1061.95ms
step:4/3125 train_time:3.338s step_avg:834.59ms
step:5/3125 train_time:3.492s step_avg:698.47ms
step:6/3125 train_time:3.646s step_avg:607.74ms
step:7/3125 train_time:3.800s step_avg:542.88ms
step:8/3125 train_time:3.955s step_avg:494.31ms
step:9/3125 train_time:4.109s step_avg:456.54ms
step:10/3125 train_time:4.263s step_avg:426.32ms
step:11/3125 train_time:4.417s step_avg:401.51ms
step:12/3125 train_time:4.570s step_avg:380.84ms
step:13/3125 train_time:4.725s step_avg:363.46ms
step:14/3125 train_time:4.879s step_avg:348.51ms
step:15/3125 train_time:5.035s step_avg:335.64ms
step:16/3125 train_time:5.189s step_avg:324.30ms
step:17/3125 train_time:5.343s step_avg:314.32ms
step:18/3125 train_time:5.498s step_avg:305.46ms
step:19/3125 train_time:5.652s step_avg:297.47ms
step:20/3125 train_time:5.807s step_avg:290.37ms
step:21/3125 train_time:5.961s step_avg:283.85ms
step:22/3125 train_time:6.115s step_avg:277.96ms
step:23/3125 train_time:6.269s step_avg:272.56ms
step:24/3125 train_time:6.424s step_avg:267.66ms
step:25/3125 train_time:6.577s step_avg:263.08ms
step:26/3125 train_time:6.732s step_avg:258.94ms
step:27/3125 train_time:6.886s step_avg:255.05ms
step:28/3125 train_time:7.040s step_avg:251.42ms
step:29/3125 train_time:7.194s step_avg:248.06ms
step:30/3125 train_time:7.350s step_avg:245.00ms
step:31/3125 train_time:7.507s step_avg:242.15ms
step:32/3125 train_time:7.661s step_avg:239.41ms
step:33/3125 train_time:7.815s step_avg:236.81ms
step:34/3125 train_time:7.969s step_avg:234.38ms
step:35/3125 train_time:8.125s step_avg:232.13ms
step:36/3125 train_time:8.279s step_avg:229.98ms
step:37/3125 train_time:8.434s step_avg:227.95ms
step:38/3125 train_time:8.589s step_avg:226.04ms
step:39/3125 train_time:8.745s step_avg:224.23ms
step:40/3125 train_time:8.898s step_avg:222.46ms
step:41/3125 train_time:9.053s step_avg:220.80ms
step:42/3125 train_time:9.207s step_avg:219.22ms
step:43/3125 train_time:9.361s step_avg:217.70ms
step:44/3125 train_time:9.516s step_avg:216.26ms
step:45/3125 train_time:9.670s step_avg:214.88ms
step:46/3125 train_time:9.825s step_avg:213.58ms
step:47/3125 train_time:9.979s step_avg:212.31ms
step:48/3125 train_time:10.132s step_avg:211.09ms
step:49/3125 train_time:10.288s step_avg:209.96ms
step:50/3125 train_time:10.442s step_avg:208.84ms
step:51/3125 train_time:10.596s step_avg:207.77ms
step:52/3125 train_time:10.750s step_avg:206.73ms
step:53/3125 train_time:10.905s step_avg:205.76ms
step:54/3125 train_time:11.060s step_avg:204.81ms
step:55/3125 train_time:11.215s step_avg:203.90ms
step:56/3125 train_time:11.369s step_avg:203.01ms
step:57/3125 train_time:11.524s step_avg:202.17ms
step:58/3125 train_time:11.677s step_avg:201.33ms
step:59/3125 train_time:11.832s step_avg:200.54ms
step:60/3125 train_time:11.986s step_avg:199.76ms
step:61/3125 train_time:12.140s step_avg:199.01ms
step:62/3125 train_time:12.294s step_avg:198.29ms
step:63/3125 train_time:12.448s step_avg:197.59ms
step:64/3125 train_time:12.603s step_avg:196.92ms
step:65/3125 train_time:12.757s step_avg:196.26ms
step:66/3125 train_time:12.911s step_avg:195.62ms
step:67/3125 train_time:13.066s step_avg:195.01ms
step:68/3125 train_time:13.220s step_avg:194.42ms
step:69/3125 train_time:13.375s step_avg:193.85ms
step:70/3125 train_time:13.530s step_avg:193.28ms
step:71/3125 train_time:13.684s step_avg:192.73ms
step:72/3125 train_time:13.840s step_avg:192.23ms
step:73/3125 train_time:13.995s step_avg:191.71ms
step:74/3125 train_time:14.150s step_avg:191.21ms
step:75/3125 train_time:14.305s step_avg:190.74ms
step:76/3125 train_time:14.458s step_avg:190.24ms
step:77/3125 train_time:14.614s step_avg:189.79ms
step:78/3125 train_time:14.769s step_avg:189.34ms
step:79/3125 train_time:14.925s step_avg:188.92ms
step:80/3125 train_time:15.080s step_avg:188.51ms
step:81/3125 train_time:15.234s step_avg:188.08ms
step:82/3125 train_time:15.387s step_avg:187.65ms
step:83/3125 train_time:15.541s step_avg:187.24ms
step:84/3125 train_time:15.696s step_avg:186.86ms
step:85/3125 train_time:15.850s step_avg:186.47ms
step:86/3125 train_time:16.004s step_avg:186.09ms
step:87/3125 train_time:16.157s step_avg:185.72ms
step:88/3125 train_time:16.311s step_avg:185.36ms
step:89/3125 train_time:16.465s step_avg:185.00ms
step:90/3125 train_time:16.619s step_avg:184.65ms
step:91/3125 train_time:16.773s step_avg:184.32ms
step:92/3125 train_time:16.928s step_avg:184.00ms
step:93/3125 train_time:17.082s step_avg:183.68ms
step:94/3125 train_time:17.236s step_avg:183.37ms
step:95/3125 train_time:17.391s step_avg:183.06ms
step:96/3125 train_time:17.547s step_avg:182.78ms
step:97/3125 train_time:17.700s step_avg:182.48ms
step:98/3125 train_time:17.855s step_avg:182.19ms
step:99/3125 train_time:18.009s step_avg:181.91ms
step:100/3125 train_time:18.162s step_avg:181.62ms
step:101/3125 train_time:18.316s step_avg:181.34ms
step:102/3125 train_time:18.469s step_avg:181.07ms
step:103/3125 train_time:18.623s step_avg:180.81ms
step:104/3125 train_time:18.777s step_avg:180.55ms
step:105/3125 train_time:18.932s step_avg:180.30ms
step:106/3125 train_time:19.086s step_avg:180.06ms
step:107/3125 train_time:19.240s step_avg:179.82ms
step:108/3125 train_time:19.394s step_avg:179.58ms
step:109/3125 train_time:19.548s step_avg:179.34ms
step:110/3125 train_time:19.703s step_avg:179.12ms
step:111/3125 train_time:19.856s step_avg:178.88ms
step:112/3125 train_time:20.010s step_avg:178.66ms
step:113/3125 train_time:20.164s step_avg:178.45ms
step:114/3125 train_time:20.317s step_avg:178.22ms
step:115/3125 train_time:20.471s step_avg:178.01ms
step:116/3125 train_time:20.627s step_avg:177.82ms
step:117/3125 train_time:20.780s step_avg:177.60ms
step:118/3125 train_time:20.935s step_avg:177.41ms
step:119/3125 train_time:21.088s step_avg:177.21ms
step:120/3125 train_time:21.243s step_avg:177.02ms
step:121/3125 train_time:21.396s step_avg:176.83ms
step:122/3125 train_time:21.550s step_avg:176.64ms
step:123/3125 train_time:21.705s step_avg:176.47ms
step:124/3125 train_time:21.859s step_avg:176.28ms
step:125/3125 train_time:22.014s step_avg:176.11ms
