=== n8 ctrl seed 4: train_gpt_muonh_fast_slow_decay.py ===
W0827 08:08:59.466000 22315 torch/distributed/run.py:852] 
W0827 08:08:59.466000 22315 torch/distributed/run.py:852] *****************************************
W0827 08:08:59.466000 22315 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0827 08:08:59.466000 22315 torch/distributed/run.py:852] *****************************************
logs/muonh_fast_slow_decay_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_steps3125_seed4.txt
step:0/3125 val_loss:11.02373 train_time:0.000s step_avg:nanms
step:1/3125 train_time:2.895s step_avg:2894.56ms
step:2/3125 train_time:3.043s step_avg:1521.47ms
step:3/3125 train_time:3.196s step_avg:1065.38ms
step:4/3125 train_time:3.350s step_avg:837.47ms
step:5/3125 train_time:3.504s step_avg:700.79ms
step:6/3125 train_time:3.657s step_avg:609.46ms
step:7/3125 train_time:3.811s step_avg:544.41ms
step:8/3125 train_time:3.964s step_avg:495.52ms
step:9/3125 train_time:4.118s step_avg:457.53ms
step:10/3125 train_time:4.272s step_avg:427.20ms
step:11/3125 train_time:4.425s step_avg:402.32ms
step:12/3125 train_time:4.580s step_avg:381.66ms
step:13/3125 train_time:4.735s step_avg:364.21ms
step:14/3125 train_time:4.890s step_avg:349.28ms
step:15/3125 train_time:5.045s step_avg:336.35ms
step:16/3125 train_time:5.198s step_avg:324.88ms
step:17/3125 train_time:5.353s step_avg:314.91ms
step:18/3125 train_time:5.509s step_avg:306.03ms
step:19/3125 train_time:5.662s step_avg:298.02ms
step:20/3125 train_time:5.816s step_avg:290.79ms
step:21/3125 train_time:5.971s step_avg:284.31ms
step:22/3125 train_time:6.124s step_avg:278.37ms
step:23/3125 train_time:6.277s step_avg:272.92ms
step:24/3125 train_time:6.433s step_avg:268.05ms
step:25/3125 train_time:6.589s step_avg:263.55ms
step:26/3125 train_time:6.743s step_avg:259.33ms
step:27/3125 train_time:6.896s step_avg:255.41ms
step:28/3125 train_time:7.051s step_avg:251.81ms
step:29/3125 train_time:7.205s step_avg:248.46ms
step:30/3125 train_time:7.362s step_avg:245.40ms
step:31/3125 train_time:7.516s step_avg:242.45ms
step:32/3125 train_time:7.671s step_avg:239.70ms
step:33/3125 train_time:7.824s step_avg:237.10ms
step:34/3125 train_time:7.978s step_avg:234.64ms
step:35/3125 train_time:8.133s step_avg:232.37ms
step:36/3125 train_time:8.288s step_avg:230.23ms
step:37/3125 train_time:8.444s step_avg:228.21ms
step:38/3125 train_time:8.597s step_avg:226.23ms
step:39/3125 train_time:8.751s step_avg:224.39ms
step:40/3125 train_time:8.905s step_avg:222.63ms
step:41/3125 train_time:9.060s step_avg:220.97ms
step:42/3125 train_time:9.215s step_avg:219.41ms
step:43/3125 train_time:9.371s step_avg:217.93ms
step:44/3125 train_time:9.529s step_avg:216.56ms
step:45/3125 train_time:9.684s step_avg:215.20ms
step:46/3125 train_time:9.839s step_avg:213.90ms
step:47/3125 train_time:9.993s step_avg:212.62ms
step:48/3125 train_time:10.148s step_avg:211.42ms
step:49/3125 train_time:10.302s step_avg:210.25ms
step:50/3125 train_time:10.456s step_avg:209.12ms
step:51/3125 train_time:10.610s step_avg:208.05ms
step:52/3125 train_time:10.765s step_avg:207.02ms
step:53/3125 train_time:10.918s step_avg:206.00ms
step:54/3125 train_time:11.073s step_avg:205.05ms
step:55/3125 train_time:11.227s step_avg:204.13ms
step:56/3125 train_time:11.381s step_avg:203.23ms
step:57/3125 train_time:11.535s step_avg:202.37ms
step:58/3125 train_time:11.690s step_avg:201.56ms
step:59/3125 train_time:11.844s step_avg:200.74ms
step:60/3125 train_time:11.997s step_avg:199.95ms
step:61/3125 train_time:12.151s step_avg:199.20ms
step:62/3125 train_time:12.307s step_avg:198.50ms
step:63/3125 train_time:12.462s step_avg:197.81ms
step:64/3125 train_time:12.615s step_avg:197.11ms
step:65/3125 train_time:12.769s step_avg:196.45ms
step:66/3125 train_time:12.923s step_avg:195.80ms
step:67/3125 train_time:13.077s step_avg:195.19ms
step:68/3125 train_time:13.231s step_avg:194.58ms
step:69/3125 train_time:13.386s step_avg:194.00ms
step:70/3125 train_time:13.541s step_avg:193.44ms
step:71/3125 train_time:13.697s step_avg:192.91ms
step:72/3125 train_time:13.851s step_avg:192.38ms
step:73/3125 train_time:14.006s step_avg:191.86ms
step:74/3125 train_time:14.159s step_avg:191.34ms
step:75/3125 train_time:14.313s step_avg:190.84ms
step:76/3125 train_time:14.470s step_avg:190.39ms
step:77/3125 train_time:14.624s step_avg:189.92ms
step:78/3125 train_time:14.778s step_avg:189.46ms
step:79/3125 train_time:14.931s step_avg:189.00ms
step:80/3125 train_time:15.085s step_avg:188.57ms
step:81/3125 train_time:15.239s step_avg:188.13ms
step:82/3125 train_time:15.393s step_avg:187.72ms
step:83/3125 train_time:15.549s step_avg:187.33ms
step:84/3125 train_time:15.703s step_avg:186.94ms
step:85/3125 train_time:15.856s step_avg:186.54ms
step:86/3125 train_time:16.010s step_avg:186.16ms
step:87/3125 train_time:16.165s step_avg:185.80ms
step:88/3125 train_time:16.318s step_avg:185.44ms
step:89/3125 train_time:16.473s step_avg:185.08ms
step:90/3125 train_time:16.627s step_avg:184.74ms
step:91/3125 train_time:16.782s step_avg:184.42ms
step:92/3125 train_time:16.935s step_avg:184.08ms
step:93/3125 train_time:17.090s step_avg:183.77ms
step:94/3125 train_time:17.243s step_avg:183.44ms
step:95/3125 train_time:17.397s step_avg:183.12ms
step:96/3125 train_time:17.551s step_avg:182.82ms
step:97/3125 train_time:17.705s step_avg:182.53ms
step:98/3125 train_time:17.860s step_avg:182.24ms
step:99/3125 train_time:18.014s step_avg:181.96ms
step:100/3125 train_time:18.169s step_avg:181.69ms
step:101/3125 train_time:18.322s step_avg:181.41ms
step:102/3125 train_time:18.476s step_avg:181.14ms
step:103/3125 train_time:18.630s step_avg:180.88ms
step:104/3125 train_time:18.784s step_avg:180.62ms
step:105/3125 train_time:18.938s step_avg:180.36ms
step:106/3125 train_time:19.093s step_avg:180.12ms
step:107/3125 train_time:19.248s step_avg:179.88ms
