name	k	tau_max	val_3150	val_3160	val_3200	val_3250	first_lt328	exit
L20_g0_t64	20	64	3.28300	3.28203	3.27875	3.27667	3190	0
L20_g0.5_t64	20	64	3.28196	3.28097	3.27767	3.27559	3175	0
L20_g1_t64	20	64	3.28089	3.27994	3.27666	3.27460	3160	0
L20_g0.5_t256	20	256	3.28081	3.28002	3.27716	3.27534	3170	0
L20_g0.5_t512	20	512	3.29673	3.29606	3.29367	3.29219	none	0
L8_g0.5_t64	8	64	3.28072	3.27974	3.27648	3.27442	3160	0
