mu	seed	ema_2655	ema_2680	ema_2690	ema_2720	first_ema_lt3.28	exit
0.95	0	3.28043	3.27867	3.27803	3.27629	2665	0
0.95	1	3.28058	3.27883	3.27818	3.27643	2665	0
0.95	2	3.28099	3.27928	3.27861	3.27686	2670	0
0.95	3	3.27861	3.27689	3.27625	3.27450	2640	0
0.95	4	3.28274	3.28099	3.28032	3.27859	2700	0
0.95	5	3.27781	3.27606	3.27544	3.27369	2630	0
0.95	6	3.27944	3.27774	3.27709	3.27534	2650	0
0.95	7	3.27937	3.27764	3.27701	3.27527	2650	0
# mean	-	3.28000	3.27826	3.27762	3.27587	2658.8	-
# margin=(3.28-mean)*sqrt(8)	-	0.00001	0.00491	0.00674	0.01168	-	-
