step	restart	iter	objective
2750	3	28	391079328.0
2750	3	29	391742784.0
2750	3	30	392285824.0
2750	3	31	392864864.0
2750	3	32	393374496.0
2750	3	33	393897824.0
2750	3	34	394308064.0
2750	3	35	394805056.0
2750	3	36	395204832.0
2750	3	37	395612096.0
2750	3	38	395954560.0
2750	3	39	396330400.0
2750	3	40	396646624.0
2750	3	41	397038624.0
2750	3	42	397295008.0
2750	3	43	397651200.0
2750	3	44	397967808.0
2750	3	45	398247072.0
2750	3	46	398503072.0
2750	3	47	398724832.0
2750	3	48	398993632.0
2750	3	49	399266592.0
2750	3	50	399504448.0
2750	4	0	251500.515625
2750	4	1	73665312.0
2750	4	2	196919040.0
2750	4	3	260598016.0
2750	4	4	294963360.0
2750	4	5	316438816.0
2750	4	6	331155008.0
2750	4	7	341889536.0
2750	4	8	350147040.0
2750	4	9	356696128.0
2750	4	10	362174720.0
2750	4	11	366657856.0
2750	4	12	370545088.0
2750	4	13	373930752.0
2750	4	14	376862976.0
2750	4	15	379442720.0
2750	4	16	381712768.0
2750	4	17	383865312.0
2750	4	18	385684128.0
2750	4	19	387491968.0
2750	4	20	389043616.0
2750	4	21	390464800.0
2750	4	22	391813824.0
2750	4	23	393031232.0
2750	4	24	394185408.0
2750	4	25	395292256.0
2750	4	26	396357760.0
2750	4	27	397246496.0
2750	4	28	398156512.0
2750	4	29	398991488.0
2750	4	30	399806656.0
2750	4	31	400505440.0
2750	4	32	401303040.0
2750	4	33	402023904.0
2750	4	34	402616416.0
2750	4	35	403232256.0
2750	4	36	403867584.0
2750	4	37	404399168.0
2750	4	38	404892544.0
2750	4	39	405459008.0
2750	4	40	405961472.0
2750	4	41	406453888.0
2750	4	42	406884480.0
2750	4	43	407394880.0
2750	4	44	407848640.0
2750	4	45	408249024.0
2750	4	46	408645984.0
2750	4	47	409012576.0
2750	4	48	409309728.0
2750	4	49	409682528.0
2750	4	50	410022432.0
