step	radius	tokens	q@5	q@10	q@20	q@50	spread_k	spread_mean	spread_std	spread_min	spread_max	euclid_max_top_eig	peak_cuda_bytes	seconds
1500	1.0	131072	383339168.0	399310400.0	408902208.0	416474496.0	50	407228550.4	7156623.96508101	397070400.0	416474496.0		40836634112	1399.2
2750	1.0	131072	414443808.0	425539872.0	431887712.0	436778752.0	50	417161484.8	13029775.01549663	399504448.0	436778752.0		40836634112	1393.8
