### STEP LINES ###
step 25 | loss 0.0065 | teacher-student gap -0.0652 | adv_clip 3.9% | ratio_clip lo 4.7% hi 1.1% | staleness 1.13 (max 2) | grad 2.007 | lr 1.00e-06 | tokens 1790 | hint_drop 140.5% | sandbox_fail 0 | empty_eps 0
step 26 | loss -0.0079 | teacher-student gap -0.2004 | adv_clip 10.7% | ratio_clip lo 0.0% hi 0.0% | staleness 1.12 (max 2) | grad 2.799 | lr 1.00e-06 | tokens 519 | hint_drop 147.5% | sandbox_fail 0 | empty_eps 0
step 27 | loss -0.0187 | teacher-student gap -0.1319 | adv_clip 6.9% | ratio_clip lo 0.1% hi 0.0% | staleness 1.11 (max 2) | grad 1.983 | lr 1.00e-06 | tokens 1049 | hint_drop 149.4% | sandbox_fail 0 | empty_eps 0
step 28 | loss -0.0028 | teacher-student gap -0.0713 | adv_clip 2.8% | ratio_clip lo 4.6% hi 1.5% | staleness 1.11 (max 2) | grad 2.216 | lr 1.00e-06 | tokens 1698 | hint_drop 151.2% | sandbox_fail 0 | empty_eps 0
step 29 | loss -0.0370 | teacher-student gap -0.0882 | adv_clip 5.0% | ratio_clip lo 0.1% hi 0.0% | staleness 1.11 (max 2) | grad 1.476 | lr 1.00e-06 | tokens 2027 | hint_drop 151.1% | sandbox_fail 0 | empty_eps 0
step 30 | loss -0.0337 | teacher-student gap -0.1061 | adv_clip 5.0% | ratio_clip lo 6.4% hi 2.1% | staleness 1.10 (max 2) | grad 1.618 | lr 1.00e-06 | tokens 1263 | hint_drop 151.2% | sandbox_fail 0 | empty_eps 0
step 31 | loss -0.0532 | teacher-student gap -0.1471 | adv_clip 8.4% | ratio_clip lo 2.2% hi 0.9% | staleness 1.10 (max 2) | grad 2.075 | lr 1.00e-06 | tokens 1253 | hint_drop 151.8% | sandbox_fail 0 | empty_eps 0
step 32 | loss -0.0337 | teacher-student gap -0.1301 | adv_clip 7.4% | ratio_clip lo 0.1% hi 0.0% | staleness 1.09 (max 2) | grad 1.582 | lr 1.00e-06 | tokens 1382 | hint_drop 156.4% | sandbox_fail 0 | empty_eps 0
step 33 | loss -0.0210 | teacher-student gap -0.1175 | adv_clip 7.0% | ratio_clip lo 3.3% hi 0.6% | staleness 1.08 (max 2) | grad 2.303 | lr 1.00e-06 | tokens 1239 | hint_drop 156.3% | sandbox_fail 0 | empty_eps 0
step 34 | loss -0.0163 | teacher-student gap -0.1146 | adv_clip 5.7% | ratio_clip lo 7.5% hi 2.5% | staleness 1.08 (max 2) | grad 1.966 | lr 1.00e-06 | tokens 1186 | hint_drop 157.2% | sandbox_fail 0 | empty_eps 0
step 35 | loss -0.0466 | teacher-student gap -0.1833 | adv_clip 11.5% | ratio_clip lo 0.3% hi 0.0% | staleness 1.08 (max 2) | grad 2.618 | lr 1.00e-06 | tokens 812 | hint_drop 158.4% | sandbox_fail 0 | empty_eps 0
step 36 | loss -0.0526 | teacher-student gap -0.1366 | adv_clip 6.6% | ratio_clip lo 0.2% hi 0.0% | staleness 1.07 (max 2) | grad 2.321 | lr 1.00e-06 | tokens 733 | hint_drop 159.4% | sandbox_fail 0 | empty_eps 0
step 37 | loss -0.0258 | teacher-student gap -0.1366 | adv_clip 7.5% | ratio_clip lo 6.5% hi 1.9% | staleness 1.06 (max 2) | grad 1.729 | lr 1.00e-06 | tokens 1403 | hint_drop 162.7% | sandbox_fail 0 | empty_eps 0
step 38 | loss -0.0000 | teacher-student gap -0.0935 | adv_clip 5.0% | ratio_clip lo 4.3% hi 1.3% | staleness 1.06 (max 2) | grad 1.868 | lr 1.00e-06 | tokens 1436 | hint_drop 162.1% | sandbox_fail 0 | empty_eps 0
step 39 | loss -0.0336 | teacher-student gap -0.1511 | adv_clip 10.8% | ratio_clip lo 3.9% hi 1.5% | staleness 1.06 (max 2) | grad 1.755 | lr 1.00e-06 | tokens 1920 | hint_drop 163.0% | sandbox_fail 0 | empty_eps 0
step 40 | loss -0.0151 | teacher-student gap -0.1101 | adv_clip 6.2% | ratio_clip lo 8.4% hi 1.7% | staleness 1.05 (max 2) | grad 1.789 | lr 1.00e-06 | tokens 1141 | hint_drop 164.0% | sandbox_fail 0 | empty_eps 0
step 41 | loss -0.0250 | teacher-student gap -0.1854 | adv_clip 13.2% | ratio_clip lo 0.1% hi 0.0% | staleness 1.04 (max 2) | grad 2.122 | lr 1.00e-06 | tokens 938 | hint_drop 165.9% | sandbox_fail 0 | empty_eps 0
step 42 | loss -0.0260 | teacher-student gap -0.0575 | adv_clip 4.0% | ratio_clip lo 7.9% hi 2.3% | staleness 1.04 (max 2) | grad 1.494 | lr 1.00e-06 | tokens 2342 | hint_drop 169.4% | sandbox_fail 0 | empty_eps 0
step 43 | loss -0.0926 | teacher-student gap -0.2254 | adv_clip 12.0% | ratio_clip lo 0.2% hi 0.0% | staleness 1.03 (max 2) | grad 2.146 | lr 1.00e-06 | tokens 717 | hint_drop 171.9% | sandbox_fail 0 | empty_eps 0
step 44 | loss -0.0035 | teacher-student gap -0.1270 | adv_clip 6.6% | ratio_clip lo 3.6% hi 0.2% | staleness 1.02 (max 2) | grad 1.864 | lr 1.00e-06 | tokens 944 | hint_drop 173.8% | sandbox_fail 0 | empty_eps 0
step 45 | loss -0.0188 | teacher-student gap -0.0799 | adv_clip 5.7% | ratio_clip lo 5.9% hi 2.7% | staleness 1.02 (max 2) | grad 2.111 | lr 1.00e-06 | tokens 1568 | hint_drop 173.8% | sandbox_fail 0 | empty_eps 0
