run_id	fork	assignment	stop	curvature_steps
req023_f1500_a0	1500	0	2350	1850,1975,2100,2225,2350
req023_f1500_a1	1500	1	2350	1850,1975,2100,2225,2350
req023_f1500_a2	1500	2	2350	1850,1975,2100,2225,2350
req023_f2000_a0	2000	0	2850	2350,2475,2600,2725,2850
req023_f2000_a1	2000	1	2850	2350,2475,2600,2725,2850
req023_f2000_a2	2000	2	2850	2350,2475,2600,2725,2850
