=== ep_62_30 : train_gpt_muonh_kmaxwell.py --warmup_end 100 --plateau_end 200 --fast_decay_end 1750 --peak_lr 0.030 --floor_lr 0.006 --fast_decay_exponent 0.6 --slow_decay_schedule linear --min_lr 0.0 --train_steps 3125 --seed 0 --k 8 --tau-min 3 --tau-max 64 --km-start 1000 --mu 0.95 --anneal-frac 1.0 --age 62 --age-end 30 ===
W0827 06:28:59.422000 10656 torch/distributed/run.py:852] 
W0827 06:28:59.422000 10656 torch/distributed/run.py:852] *****************************************
W0827 06:28:59.422000 10656 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0827 06:28:59.422000 10656 torch/distributed/run.py:852] *****************************************
logs/muonh_fast_slow_decay_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_kmaxwell_k8_kmstart1000_steps3125_seed0.txt
step:0/3125 val_loss:10.98535 train_time:0.000s step_avg:nanms
step:1/3125 train_time:2.858s step_avg:2857.81ms
step:2/3125 train_time:3.005s step_avg:1502.26ms
step:3/3125 train_time:3.157s step_avg:1052.41ms
step:4/3125 train_time:3.311s step_avg:827.82ms
step:5/3125 train_time:3.466s step_avg:693.10ms
step:6/3125 train_time:3.620s step_avg:603.40ms
step:7/3125 train_time:3.775s step_avg:539.25ms
step:8/3125 train_time:3.929s step_avg:491.12ms
step:9/3125 train_time:4.083s step_avg:453.64ms
step:10/3125 train_time:4.236s step_avg:423.64ms
step:11/3125 train_time:4.390s step_avg:399.12ms
step:12/3125 train_time:4.545s step_avg:378.75ms
step:13/3125 train_time:4.699s step_avg:361.45ms
step:14/3125 train_time:4.853s step_avg:346.61ms
step:15/3125 train_time:5.006s step_avg:333.73ms
step:16/3125 train_time:5.161s step_avg:322.57ms
step:17/3125 train_time:5.315s step_avg:312.63ms
step:18/3125 train_time:5.470s step_avg:303.90ms
step:19/3125 train_time:5.625s step_avg:296.07ms
step:20/3125 train_time:5.779s step_avg:288.94ms
step:21/3125 train_time:5.932s step_avg:282.49ms
step:22/3125 train_time:6.087s step_avg:276.70ms
step:23/3125 train_time:6.242s step_avg:271.41ms
step:24/3125 train_time:6.396s step_avg:266.49ms
step:25/3125 train_time:6.551s step_avg:262.04ms
step:26/3125 train_time:6.706s step_avg:257.94ms
step:27/3125 train_time:6.861s step_avg:254.11ms
step:28/3125 train_time:7.014s step_avg:250.51ms
step:29/3125 train_time:7.169s step_avg:247.21ms
step:30/3125 train_time:7.322s step_avg:244.08ms
step:31/3125 train_time:7.476s step_avg:241.15ms
step:32/3125 train_time:7.631s step_avg:238.48ms
step:33/3125 train_time:7.787s step_avg:235.96ms
step:34/3125 train_time:7.943s step_avg:233.62ms
