=== ep_54_24 : train_gpt_muonh_kmaxwell.py --warmup_end 100 --plateau_end 200 --fast_decay_end 1750 --peak_lr 0.030 --floor_lr 0.006 --fast_decay_exponent 0.6 --slow_decay_schedule linear --min_lr 0.0 --train_steps 3125 --seed 0 --k 8 --tau-min 3 --tau-max 64 --km-start 1000 --mu 0.95 --anneal-frac 1.0 --age 54 --age-end 24 ===
W0827 06:19:20.762000 8299 torch/distributed/run.py:852] 
W0827 06:19:20.762000 8299 torch/distributed/run.py:852] *****************************************
W0827 06:19:20.762000 8299 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0827 06:19:20.762000 8299 torch/distributed/run.py:852] *****************************************
logs/muonh_fast_slow_decay_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_kmaxwell_k8_kmstart1000_steps3125_seed0.txt
step:0/3125 val_loss:10.98535 train_time:0.000s step_avg:nanms
step:1/3125 train_time:2.636s step_avg:2635.54ms
step:2/3125 train_time:2.786s step_avg:1392.75ms
step:3/3125 train_time:2.938s step_avg:979.22ms
step:4/3125 train_time:3.091s step_avg:772.84ms
step:5/3125 train_time:3.245s step_avg:649.04ms
step:6/3125 train_time:3.397s step_avg:566.20ms
step:7/3125 train_time:3.551s step_avg:507.34ms
step:8/3125 train_time:3.705s step_avg:463.16ms
step:9/3125 train_time:3.858s step_avg:428.67ms
step:10/3125 train_time:4.011s step_avg:401.08ms
step:11/3125 train_time:4.163s step_avg:378.47ms
step:12/3125 train_time:4.317s step_avg:359.72ms
step:13/3125 train_time:4.470s step_avg:343.86ms
step:14/3125 train_time:4.624s step_avg:330.26ms
step:15/3125 train_time:4.777s step_avg:318.47ms
step:16/3125 train_time:4.930s step_avg:308.14ms
step:17/3125 train_time:5.084s step_avg:299.04ms
step:18/3125 train_time:5.237s step_avg:290.92ms
step:19/3125 train_time:5.391s step_avg:283.71ms
step:20/3125 train_time:5.543s step_avg:277.13ms
step:21/3125 train_time:5.696s step_avg:271.25ms
step:22/3125 train_time:5.850s step_avg:265.93ms
step:23/3125 train_time:6.004s step_avg:261.05ms
step:24/3125 train_time:6.157s step_avg:256.56ms
step:25/3125 train_time:6.311s step_avg:252.45ms
step:26/3125 train_time:6.465s step_avg:248.65ms
step:27/3125 train_time:6.617s step_avg:245.09ms
step:28/3125 train_time:6.772s step_avg:241.86ms
step:29/3125 train_time:6.926s step_avg:238.84ms
step:30/3125 train_time:7.080s step_avg:236.00ms
step:31/3125 train_time:7.234s step_avg:233.35ms
step:32/3125 train_time:7.389s step_avg:230.90ms
step:33/3125 train_time:7.541s step_avg:228.53ms
step:34/3125 train_time:7.695s step_avg:226.34ms
step:35/3125 train_time:7.849s step_avg:224.26ms
step:36/3125 train_time:8.001s step_avg:222.26ms
step:37/3125 train_time:8.155s step_avg:220.42ms
step:38/3125 train_time:8.309s step_avg:218.67ms
step:39/3125 train_time:8.463s step_avg:217.00ms
step:40/3125 train_time:8.616s step_avg:215.41ms
step:41/3125 train_time:8.770s step_avg:213.90ms
step:42/3125 train_time:8.923s step_avg:212.46ms
step:43/3125 train_time:9.077s step_avg:211.10ms
step:44/3125 train_time:9.232s step_avg:209.82ms
step:45/3125 train_time:9.385s step_avg:208.56ms
step:46/3125 train_time:9.538s step_avg:207.35ms
step:47/3125 train_time:9.695s step_avg:206.27ms
step:48/3125 train_time:9.849s step_avg:205.18ms
step:49/3125 train_time:10.001s step_avg:204.11ms
step:50/3125 train_time:10.155s step_avg:203.10ms
step:51/3125 train_time:10.308s step_avg:202.12ms
step:52/3125 train_time:10.461s step_avg:201.17ms
step:53/3125 train_time:10.614s step_avg:200.27ms
step:54/3125 train_time:10.768s step_avg:199.41ms
step:55/3125 train_time:10.922s step_avg:198.58ms
step:56/3125 train_time:11.076s step_avg:197.78ms
step:57/3125 train_time:11.230s step_avg:197.03ms
step:58/3125 train_time:11.384s step_avg:196.28ms
step:59/3125 train_time:11.537s step_avg:195.55ms
step:60/3125 train_time:11.691s step_avg:194.85ms
step:61/3125 train_time:11.845s step_avg:194.19ms
step:62/3125 train_time:11.998s step_avg:193.52ms
step:63/3125 train_time:12.153s step_avg:192.91ms
step:64/3125 train_time:12.308s step_avg:192.31ms
step:65/3125 train_time:12.461s step_avg:191.70ms
step:66/3125 train_time:12.614s step_avg:191.12ms
step:67/3125 train_time:12.767s step_avg:190.55ms
step:68/3125 train_time:12.919s step_avg:189.99ms
step:69/3125 train_time:13.074s step_avg:189.49ms
step:70/3125 train_time:13.228s step_avg:188.97ms
step:71/3125 train_time:13.382s step_avg:188.47ms
step:72/3125 train_time:13.536s step_avg:188.00ms
step:73/3125 train_time:13.691s step_avg:187.55ms
step:74/3125 train_time:13.846s step_avg:187.11ms
step:75/3125 train_time:14.000s step_avg:186.67ms
step:76/3125 train_time:14.155s step_avg:186.25ms
step:77/3125 train_time:14.308s step_avg:185.82ms
step:78/3125 train_time:14.461s step_avg:185.40ms
step:79/3125 train_time:14.615s step_avg:185.00ms
step:80/3125 train_time:14.769s step_avg:184.61ms
step:81/3125 train_time:14.922s step_avg:184.22ms
step:82/3125 train_time:15.076s step_avg:183.86ms
step:83/3125 train_time:15.230s step_avg:183.49ms
step:84/3125 train_time:15.383s step_avg:183.13ms
step:85/3125 train_time:15.536s step_avg:182.78ms
step:86/3125 train_time:15.690s step_avg:182.44ms
step:87/3125 train_time:15.844s step_avg:182.12ms
step:88/3125 train_time:15.998s step_avg:181.79ms
step:89/3125 train_time:16.152s step_avg:181.48ms
step:90/3125 train_time:16.306s step_avg:181.17ms
step:91/3125 train_time:16.459s step_avg:180.87ms
step:92/3125 train_time:16.613s step_avg:180.58ms
step:93/3125 train_time:16.766s step_avg:180.28ms
step:94/3125 train_time:16.919s step_avg:179.99ms
step:95/3125 train_time:17.075s step_avg:179.73ms
step:96/3125 train_time:17.228s step_avg:179.46ms
step:97/3125 train_time:17.381s step_avg:179.19ms
step:98/3125 train_time:17.535s step_avg:178.93ms
step:99/3125 train_time:17.689s step_avg:178.68ms
step:100/3125 train_time:17.842s step_avg:178.42ms
step:101/3125 train_time:17.996s step_avg:178.18ms
step:102/3125 train_time:18.149s step_avg:177.93ms
step:103/3125 train_time:18.302s step_avg:177.69ms
step:104/3125 train_time:18.457s step_avg:177.47ms
step:105/3125 train_time:18.612s step_avg:177.26ms
step:106/3125 train_time:18.766s step_avg:177.03ms
step:107/3125 train_time:18.918s step_avg:176.81ms
step:108/3125 train_time:19.072s step_avg:176.59ms
step:109/3125 train_time:19.226s step_avg:176.39ms
step:110/3125 train_time:19.379s step_avg:176.18ms
step:111/3125 train_time:19.533s step_avg:175.97ms
step:112/3125 train_time:19.686s step_avg:175.77ms
step:113/3125 train_time:19.839s step_avg:175.56ms
step:114/3125 train_time:19.993s step_avg:175.37ms
step:115/3125 train_time:20.146s step_avg:175.18ms
step:116/3125 train_time:20.300s step_avg:175.00ms
step:117/3125 train_time:20.454s step_avg:174.82ms
step:118/3125 train_time:20.609s step_avg:174.65ms
step:119/3125 train_time:20.763s step_avg:174.48ms
step:120/3125 train_time:20.917s step_avg:174.31ms
step:121/3125 train_time:21.070s step_avg:174.14ms
step:122/3125 train_time:21.224s step_avg:173.97ms
step:123/3125 train_time:21.378s step_avg:173.80ms
step:124/3125 train_time:21.532s step_avg:173.65ms
step:125/3125 train_time:21.685s step_avg:173.48ms
step:125/3125 val_loss:4.87764 train_time:21.694s step_avg:173.55ms
step:126/3125 train_time:21.842s step_avg:173.35ms
step:127/3125 train_time:21.995s step_avg:173.19ms
step:128/3125 train_time:22.148s step_avg:173.03ms
step:129/3125 train_time:22.301s step_avg:172.88ms
step:130/3125 train_time:22.454s step_avg:172.73ms
step:131/3125 train_time:22.607s step_avg:172.58ms
step:132/3125 train_time:22.761s step_avg:172.43ms
step:133/3125 train_time:22.915s step_avg:172.30ms
step:134/3125 train_time:23.068s step_avg:172.15ms
step:135/3125 train_time:23.222s step_avg:172.01ms
step:136/3125 train_time:23.375s step_avg:171.88ms
step:137/3125 train_time:23.529s step_avg:171.74ms
step:138/3125 train_time:23.683s step_avg:171.62ms
step:139/3125 train_time:23.837s step_avg:171.49ms
step:140/3125 train_time:23.990s step_avg:171.36ms
step:141/3125 train_time:24.143s step_avg:171.23ms
step:142/3125 train_time:24.297s step_avg:171.10ms
