=== k_6 : train_gpt_muonh_kmaxwell.py --warmup_end 100 --plateau_end 200 --fast_decay_end 1750 --peak_lr 0.030 --floor_lr 0.006 --fast_decay_exponent 0.6 --slow_decay_schedule linear --min_lr 0.0 --train_steps 3125 --seed 0 --k 6 --tau-min 3 --tau-max 64 --km-start 750 --mu 0.95 --anneal-frac 1.0 --age 50 --age-end 22 ===
W0827 07:20:56.890000 16253 torch/distributed/run.py:852] 
W0827 07:20:56.890000 16253 torch/distributed/run.py:852] *****************************************
W0827 07:20:56.890000 16253 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0827 07:20:56.890000 16253 torch/distributed/run.py:852] *****************************************
logs/muonh_fast_slow_decay_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_kmaxwell_k6_kmstart750_steps3125_seed0.txt
step:0/3125 val_loss:10.98535 train_time:0.000s step_avg:nanms
step:1/3125 train_time:2.643s step_avg:2642.62ms
step:2/3125 train_time:2.791s step_avg:1395.49ms
step:3/3125 train_time:2.945s step_avg:981.66ms
step:4/3125 train_time:3.098s step_avg:774.39ms
step:5/3125 train_time:3.251s step_avg:650.25ms
step:6/3125 train_time:3.404s step_avg:567.39ms
step:7/3125 train_time:3.558s step_avg:508.25ms
step:8/3125 train_time:3.712s step_avg:464.03ms
step:9/3125 train_time:3.866s step_avg:429.57ms
step:10/3125 train_time:4.019s step_avg:401.88ms
step:11/3125 train_time:4.173s step_avg:379.32ms
step:12/3125 train_time:4.325s step_avg:360.44ms
step:13/3125 train_time:4.479s step_avg:344.50ms
step:14/3125 train_time:4.632s step_avg:330.85ms
step:15/3125 train_time:4.786s step_avg:319.09ms
step:16/3125 train_time:4.939s step_avg:308.70ms
step:17/3125 train_time:5.094s step_avg:299.65ms
step:18/3125 train_time:5.246s step_avg:291.47ms
step:19/3125 train_time:5.400s step_avg:284.22ms
step:20/3125 train_time:5.553s step_avg:277.67ms
step:21/3125 train_time:5.707s step_avg:271.74ms
step:22/3125 train_time:5.860s step_avg:266.35ms
step:23/3125 train_time:6.015s step_avg:261.51ms
step:24/3125 train_time:6.168s step_avg:256.99ms
step:25/3125 train_time:6.322s step_avg:252.88ms
step:26/3125 train_time:6.475s step_avg:249.05ms
step:27/3125 train_time:6.630s step_avg:245.54ms
step:28/3125 train_time:6.783s step_avg:242.24ms
step:29/3125 train_time:6.937s step_avg:239.20ms
step:30/3125 train_time:7.090s step_avg:236.34ms
step:31/3125 train_time:7.245s step_avg:233.70ms
step:32/3125 train_time:7.398s step_avg:231.18ms
