=== on_1500 : train_gpt_muonh_kmaxwell.py --warmup_end 100 --plateau_end 200 --fast_decay_end 1750 --peak_lr 0.030 --floor_lr 0.006 --fast_decay_exponent 0.6 --slow_decay_schedule linear --min_lr 0.0 --train_steps 3125 --seed 0 --k 8 --tau-min 3 --tau-max 64 --mu 0.95 --anneal-frac 1.0 --age 50 --age-end 22 --km-start 1500 ===
W0827 06:43:48.991000 12183 torch/distributed/run.py:852] 
W0827 06:43:48.991000 12183 torch/distributed/run.py:852] *****************************************
W0827 06:43:48.991000 12183 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0827 06:43:48.991000 12183 torch/distributed/run.py:852] *****************************************
logs/muonh_fast_slow_decay_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_kmaxwell_k8_kmstart1500_steps3125_seed0.txt
step:0/3125 val_loss:10.98535 train_time:0.000s step_avg:nanms
step:1/3125 train_time:2.847s step_avg:2846.80ms
step:2/3125 train_time:2.992s step_avg:1495.99ms
step:3/3125 train_time:3.147s step_avg:1048.85ms
step:4/3125 train_time:3.299s step_avg:824.70ms
step:5/3125 train_time:3.452s step_avg:690.43ms
step:6/3125 train_time:3.606s step_avg:600.95ms
step:7/3125 train_time:3.759s step_avg:537.03ms
step:8/3125 train_time:3.913s step_avg:489.10ms
step:9/3125 train_time:4.066s step_avg:451.79ms
step:10/3125 train_time:4.219s step_avg:421.94ms
step:11/3125 train_time:4.372s step_avg:397.46ms
step:12/3125 train_time:4.525s step_avg:377.12ms
step:13/3125 train_time:4.679s step_avg:359.92ms
step:14/3125 train_time:4.832s step_avg:345.17ms
step:15/3125 train_time:4.986s step_avg:332.40ms
step:16/3125 train_time:5.140s step_avg:321.24ms
step:17/3125 train_time:5.292s step_avg:311.29ms
step:18/3125 train_time:5.446s step_avg:302.58ms
step:19/3125 train_time:5.600s step_avg:294.71ms
step:20/3125 train_time:5.752s step_avg:287.61ms
step:21/3125 train_time:5.906s step_avg:281.23ms
step:22/3125 train_time:6.059s step_avg:275.42ms
step:23/3125 train_time:6.212s step_avg:270.08ms
step:24/3125 train_time:6.366s step_avg:265.24ms
step:25/3125 train_time:6.520s step_avg:260.78ms
step:26/3125 train_time:6.672s step_avg:256.63ms
step:27/3125 train_time:6.826s step_avg:252.83ms
step:28/3125 train_time:6.981s step_avg:249.31ms
step:29/3125 train_time:7.134s step_avg:245.98ms
step:30/3125 train_time:7.287s step_avg:242.89ms
step:31/3125 train_time:7.441s step_avg:240.02ms
step:32/3125 train_time:7.593s step_avg:237.29ms
step:33/3125 train_time:7.747s step_avg:234.76ms
step:34/3125 train_time:7.901s step_avg:232.39ms
step:35/3125 train_time:8.054s step_avg:230.12ms
step:36/3125 train_time:8.208s step_avg:227.99ms
step:37/3125 train_time:8.362s step_avg:225.99ms
step:38/3125 train_time:8.516s step_avg:224.11ms
step:39/3125 train_time:8.671s step_avg:222.35ms
step:40/3125 train_time:8.826s step_avg:220.64ms
step:41/3125 train_time:8.979s step_avg:219.00ms
step:42/3125 train_time:9.132s step_avg:217.44ms
