=== mu_094 : train_gpt_muonh_kmaxwell.py --warmup_end 100 --plateau_end 200 --fast_decay_end 1750 --peak_lr 0.030 --floor_lr 0.006 --fast_decay_exponent 0.6 --slow_decay_schedule linear --min_lr 0.0 --train_steps 3125 --seed 0 --k 8 --tau-min 3 --tau-max 64 --km-start 750 --anneal-frac 1.0 --age 50 --age-end 22 --mu 0.94 ===
W0827 07:06:45.935000 14650 torch/distributed/run.py:852] 
W0827 07:06:45.935000 14650 torch/distributed/run.py:852] *****************************************
W0827 07:06:45.935000 14650 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0827 07:06:45.935000 14650 torch/distributed/run.py:852] *****************************************
logs/muonh_fast_slow_decay_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_kmaxwell_k8_kmstart750_steps3125_seed0.txt
step:0/3125 val_loss:10.98535 train_time:0.000s step_avg:nanms
step:1/3125 train_time:8.576s step_avg:8576.31ms
step:2/3125 train_time:8.731s step_avg:4365.69ms
step:3/3125 train_time:8.886s step_avg:2961.89ms
step:4/3125 train_time:9.039s step_avg:2259.68ms
step:5/3125 train_time:9.193s step_avg:1838.63ms
step:6/3125 train_time:9.348s step_avg:1557.93ms
step:7/3125 train_time:9.504s step_avg:1357.78ms
step:8/3125 train_time:9.661s step_avg:1207.63ms
step:9/3125 train_time:9.815s step_avg:1090.59ms
step:10/3125 train_time:9.972s step_avg:997.21ms
step:11/3125 train_time:10.126s step_avg:920.58ms
step:12/3125 train_time:10.282s step_avg:856.79ms
step:13/3125 train_time:10.436s step_avg:802.75ms
step:14/3125 train_time:10.595s step_avg:756.82ms
step:15/3125 train_time:10.753s step_avg:716.88ms
step:16/3125 train_time:10.908s step_avg:681.78ms
step:17/3125 train_time:11.065s step_avg:650.86ms
step:18/3125 train_time:11.220s step_avg:623.31ms
step:19/3125 train_time:11.375s step_avg:598.67ms
step:20/3125 train_time:11.532s step_avg:576.60ms
step:21/3125 train_time:11.686s step_avg:556.48ms
step:22/3125 train_time:11.842s step_avg:538.27ms
step:23/3125 train_time:11.998s step_avg:521.65ms
step:24/3125 train_time:12.155s step_avg:506.46ms
step:25/3125 train_time:12.312s step_avg:492.47ms
step:26/3125 train_time:12.470s step_avg:479.63ms
step:27/3125 train_time:12.625s step_avg:467.61ms
step:28/3125 train_time:12.781s step_avg:456.46ms
step:29/3125 train_time:12.935s step_avg:446.04ms
step:30/3125 train_time:13.091s step_avg:436.38ms
step:31/3125 train_time:13.248s step_avg:427.34ms
step:32/3125 train_time:13.402s step_avg:418.82ms
step:33/3125 train_time:13.559s step_avg:410.89ms
step:34/3125 train_time:13.715s step_avg:403.39ms
step:35/3125 train_time:13.873s step_avg:396.37ms
step:36/3125 train_time:14.028s step_avg:389.68ms
step:37/3125 train_time:14.185s step_avg:383.37ms
step:38/3125 train_time:14.340s step_avg:377.36ms
step:39/3125 train_time:14.495s step_avg:371.68ms
step:40/3125 train_time:14.654s step_avg:366.35ms
step:41/3125 train_time:14.810s step_avg:361.23ms
step:42/3125 train_time:14.968s step_avg:356.38ms
step:43/3125 train_time:15.123s step_avg:351.69ms
step:44/3125 train_time:15.279s step_avg:347.24ms
step:45/3125 train_time:15.434s step_avg:342.98ms
step:46/3125 train_time:15.591s step_avg:338.93ms
step:47/3125 train_time:15.748s step_avg:335.06ms
step:48/3125 train_time:15.903s step_avg:331.32ms
step:49/3125 train_time:16.059s step_avg:327.74ms
step:50/3125 train_time:16.216s step_avg:324.31ms
step:51/3125 train_time:16.374s step_avg:321.05ms
step:52/3125 train_time:16.530s step_avg:317.88ms
step:53/3125 train_time:16.687s step_avg:314.85ms
step:54/3125 train_time:16.841s step_avg:311.87ms
step:55/3125 train_time:16.996s step_avg:309.02ms
step:56/3125 train_time:17.155s step_avg:306.34ms
step:57/3125 train_time:17.311s step_avg:303.71ms
step:58/3125 train_time:17.469s step_avg:301.18ms
step:59/3125 train_time:17.625s step_avg:298.73ms
step:60/3125 train_time:17.780s step_avg:296.34ms
step:61/3125 train_time:17.934s step_avg:294.00ms
step:62/3125 train_time:18.091s step_avg:291.79ms
step:63/3125 train_time:18.248s step_avg:289.65ms
step:64/3125 train_time:18.402s step_avg:287.53ms
step:65/3125 train_time:18.558s step_avg:285.51ms
step:66/3125 train_time:18.715s step_avg:283.57ms
step:67/3125 train_time:18.873s step_avg:281.69ms
step:68/3125 train_time:19.029s step_avg:279.84ms
step:69/3125 train_time:19.187s step_avg:278.07ms
step:70/3125 train_time:19.342s step_avg:276.32ms
step:71/3125 train_time:19.498s step_avg:274.62ms
step:72/3125 train_time:19.655s step_avg:272.99ms
step:73/3125 train_time:19.812s step_avg:271.40ms
step:74/3125 train_time:19.970s step_avg:269.86ms
step:75/3125 train_time:20.126s step_avg:268.35ms
step:76/3125 train_time:20.282s step_avg:266.86ms
step:77/3125 train_time:20.436s step_avg:265.40ms
step:78/3125 train_time:20.594s step_avg:264.03ms
step:79/3125 train_time:20.751s step_avg:262.68ms
step:80/3125 train_time:20.907s step_avg:261.34ms
step:81/3125 train_time:21.063s step_avg:260.04ms
step:82/3125 train_time:21.219s step_avg:258.77ms
step:83/3125 train_time:21.375s step_avg:257.53ms
step:84/3125 train_time:21.531s step_avg:256.32ms
step:85/3125 train_time:21.689s step_avg:255.16ms
step:86/3125 train_time:21.845s step_avg:254.01ms
step:87/3125 train_time:22.000s step_avg:252.87ms
step:88/3125 train_time:22.156s step_avg:251.77ms
step:89/3125 train_time:22.312s step_avg:250.70ms
step:90/3125 train_time:22.470s step_avg:249.67ms
