=== on_750 : train_gpt_muonh_kmaxwell.py --warmup_end 100 --plateau_end 200 --fast_decay_end 1750 --peak_lr 0.030 --floor_lr 0.006 --fast_decay_exponent 0.6 --slow_decay_schedule linear --min_lr 0.0 --train_steps 3125 --seed 0 --k 8 --tau-min 3 --tau-max 64 --mu 0.95 --anneal-frac 1.0 --age 50 --age-end 22 --km-start 750 ===
W0827 06:43:45.390000 11670 torch/distributed/run.py:852] 
W0827 06:43:45.390000 11670 torch/distributed/run.py:852] *****************************************
W0827 06:43:45.390000 11670 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0827 06:43:45.390000 11670 torch/distributed/run.py:852] *****************************************
logs/muonh_fast_slow_decay_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_kmaxwell_k8_kmstart750_steps3125_seed0.txt
step:0/3125 val_loss:10.98535 train_time:0.000s step_avg:nanms
step:1/3125 train_time:2.843s step_avg:2843.38ms
step:2/3125 train_time:2.989s step_avg:1494.49ms
step:3/3125 train_time:3.143s step_avg:1047.72ms
step:4/3125 train_time:3.298s step_avg:824.39ms
step:5/3125 train_time:3.452s step_avg:690.40ms
step:6/3125 train_time:3.606s step_avg:600.96ms
step:7/3125 train_time:3.765s step_avg:537.84ms
step:8/3125 train_time:3.921s step_avg:490.14ms
step:9/3125 train_time:4.077s step_avg:453.01ms
step:10/3125 train_time:4.230s step_avg:422.97ms
step:11/3125 train_time:4.385s step_avg:398.65ms
step:12/3125 train_time:4.542s step_avg:378.47ms
step:13/3125 train_time:4.698s step_avg:361.42ms
step:14/3125 train_time:4.853s step_avg:346.66ms
step:15/3125 train_time:5.010s step_avg:333.97ms
step:16/3125 train_time:5.166s step_avg:322.88ms
step:17/3125 train_time:5.322s step_avg:313.06ms
step:18/3125 train_time:5.477s step_avg:304.30ms
step:19/3125 train_time:5.632s step_avg:296.43ms
step:20/3125 train_time:5.787s step_avg:289.36ms
step:21/3125 train_time:5.943s step_avg:283.01ms
step:22/3125 train_time:6.099s step_avg:277.21ms
step:23/3125 train_time:6.253s step_avg:271.86ms
step:24/3125 train_time:6.408s step_avg:266.98ms
step:25/3125 train_time:6.567s step_avg:262.69ms
