fork	assignment	step	name	weight_frob
1500	0	1875	blocks.3.attn.q.weight	48.546573638916016
1500	0	1875	blocks.3.attn.k.weight	50.247676849365234
1500	0	1875	blocks.3.attn.v.weight	53.461830139160156
1500	0	1875	blocks.3.attn.proj.weight	56.93817138671875
1500	0	1875	blocks.3.mlp.fc.weight	117.21728515625
1500	0	1875	blocks.3.mlp.proj.weight	64.25425720214844
1500	0	1875	blocks.4.attn.q.weight	49.79349136352539
1500	0	1875	blocks.4.attn.k.weight	55.25487518310547
1500	0	1875	blocks.4.attn.v.weight	54.46569061279297
1500	0	1875	blocks.4.attn.proj.weight	68.8191909790039
1500	0	1875	blocks.4.mlp.fc.weight	128.50453186035156
1500	0	1875	blocks.4.mlp.proj.weight	80.40740966796875
1500	0	1875	blocks.5.attn.q.weight	67.5843505859375
1500	0	1875	blocks.5.attn.k.weight	48.95753479003906
1500	0	1875	blocks.5.attn.v.weight	73.0591049194336
1500	0	1875	blocks.5.attn.proj.weight	50.79301452636719
1500	0	1875	blocks.5.mlp.fc.weight	158.9176483154297
1500	0	1875	blocks.5.mlp.proj.weight	59.29483413696289
1500	0	1875	blocks.6.attn.q.weight	52.50374984741211
1500	0	1875	blocks.6.attn.k.weight	67.3868637084961
1500	0	1875	blocks.6.attn.v.weight	65.06423950195312
1500	0	1875	blocks.6.attn.proj.weight	59.932167053222656
1500	0	1875	blocks.6.mlp.fc.weight	129.19998168945312
1500	0	1875	blocks.6.mlp.proj.weight	59.860198974609375
1500	0	1875	blocks.7.attn.q.weight	54.96424865722656
1500	0	1875	blocks.7.attn.k.weight	50.11211395263672
1500	0	1875	blocks.7.attn.v.weight	63.56140899658203
1500	0	1875	blocks.7.attn.proj.weight	71.6290054321289
1500	0	1875	blocks.7.mlp.fc.weight	129.42095947265625
1500	0	1875	blocks.7.mlp.proj.weight	81.73661041259766
1500	0	1875	blocks.8.attn.q.weight	49.07209396362305
1500	0	1875	blocks.8.attn.k.weight	68.22895050048828
1500	0	1875	blocks.8.attn.v.weight	78.94657135009766
1500	0	1875	blocks.8.attn.proj.weight	59.329986572265625
1500	0	1875	blocks.8.mlp.fc.weight	159.63560485839844
1500	0	1875	blocks.8.mlp.proj.weight	66.51738739013672
1500	0	1875	blocks.9.attn.q.weight	66.8441162109375
1500	0	1875	blocks.9.attn.k.weight	53.930850982666016
1500	0	1875	blocks.9.attn.v.weight	70.11915588378906
1500	0	1875	blocks.9.attn.proj.weight	68.36064910888672
1500	0	1875	blocks.9.mlp.fc.weight	158.93112182617188
1500	0	1875	blocks.9.mlp.proj.weight	61.62681198120117
1500	0	1875	blocks.10.attn.q.weight	67.9454345703125
1500	0	1875	blocks.10.attn.k.weight	53.65932846069336
